court,surface,round_imp,best_of,player0,player1,player0_rank,player1_rank,winner
Outdoor,Clay,2,3,Ferrer D.,Berdych T.,55.0,51.0,player1
Outdoor,Clay,2,3,Monaco J.,Volandri F.,45.0,86.0,player1
Outdoor,Clay,1,3,Volandri F.,Berdych T.,55.0,45.0,player1
Outdoor,Hard,7,3,Hernych J.,Carlsen K.,103.0,83.0,player1
Outdoor,Hard,7,3,Ulihrach B.,Sanguinetti D.,104.0,136.0,player1
Outdoor,Hard,7,3,Garcia-Lopez G.,Canas G.,31.0,117.0,player1
Outdoor,Hard,7,3,Lisnard J.R.,Muller G.,89.0,122.0,player1
Outdoor,Hard,7,3,Rochus C.,Pless K.,269.0,119.0,player1
Outdoor,Hard,7,3,Zeng S.X.,Burgsmuller L.,133.0,772.0,player1
Outdoor,Hard,7,3,Healey N.,Roger-Vasselin E.,222.0,328.0,player1
Outdoor,Hard,7,3,Zib T.,Zhu B.Q.,646.0,125.0,player1
Outdoor,Hard,7,3,Vacek J.,van Gemerden M.,295.0,139.0,player1
Outdoor,Hard,7,3,Philippoussis M.,Weiner G.,128.0,92.0,player1
Outdoor,Hard,7,3,Klec I.,Gambill J.M.,74.0,337.0,player1
Outdoor,Hard,7,3,van Lottum J.,Tipsarevic J.,112.0,173.0,player1
Outdoor,Hard,7,3,Phau B.,Nieminen J.,71.0,200.0,player1
Outdoor,Hard,7,3,Lee H.T.,Arthurs W.,100.0,64.0,player1
Outdoor,Hard,7,3,Lu Y.H.,Novak J.,28.0,93.0,player1
Outdoor,Hard,7,3,Peya A.,Mello R.,67.0,114.0,player1
Outdoor,Hard,6,3,Tipsarevic J.,Mello R.,67.0,112.0,player1
Outdoor,Hard,6,3,Roger-Vasselin E.,Burgsmuller L.,133.0,222.0,player1
Outdoor,Hard,6,3,Nieminen J.,Sanguinetti D.,104.0,71.0,player1
Outdoor,Hard,6,3,Weiner G.,Muller G.,89.0,128.0,player1
Outdoor,Hard,6,3,Zhu B.Q.,Gambill J.M.,74.0,646.0,player1
Outdoor,Hard,6,3,Arthurs W.,Carlsen K.,103.0,100.0,player1
Outdoor,Hard,6,3,Pless K.,Canas G.,31.0,269.0,player1
Outdoor,Hard,6,3,van Gemerden M.,Novak J.,28.0,295.0,player1
Outdoor,Hard,3,3,Mello R.,Canas G.,31.0,67.0,player1
Outdoor,Hard,3,3,Gambill J.M.,Novak J.,28.0,74.0,player1
Outdoor,Hard,3,3,Muller G.,Carlsen K.,103.0,89.0,player1
Outdoor,Hard,3,3,Sanguinetti D.,Burgsmuller L.,133.0,104.0,player1
Outdoor,Hard,2,3,Novak J.,Canas G.,31.0,28.0,player1
Outdoor,Hard,2,3,Carlsen K.,Burgsmuller L.,133.0,103.0,player1
Outdoor,Hard,1,3,Burgsmuller L.,Canas G.,31.0,133.0,player1
Indoor,Carpet,7,3,Davydenko N.,Lopez F.,30.0,42.0,player1
Indoor,Carpet,7,3,Hrbaty D.,Malisse X.,58.0,18.0,player1
Indoor,Carpet,7,3,Clement A.,Ljubicic I.,29.0,82.0,player1
Indoor,Carpet,7,3,Costa A.,Bjorkman J.,49.0,48.0,player1
Indoor,Carpet,7,3,Sluiter R.,Ferrer D.,46.0,91.0,player1
Indoor,Carpet,7,3,Robredo T.,Soderling R.,47.0,16.0,player1
Indoor,Carpet,7,3,Horna L.,Youzhny M.,32.0,39.0,player1
Indoor,Carpet,7,3,Ancic M.,Mirnyi M.,61.0,26.0,player1
Indoor,Carpet,7,3,Ginepri R.,Spadea V.,25.0,54.0,player1
Indoor,Carpet,7,3,Massu N.,Calleri A.,56.0,11.0,player1
Indoor,Carpet,7,3,Mathieu P.H.,Stepanek R.,74.0,146.0,player1
